Release,Date,Version
3.7,2019-06-25,2019062500
3.7.2,2019-09-10,2019091000
3.7.3,2019-11-12,2019111200
3.8,2019-11-26,2019112600
3.8.1,2020-01-20,2020012000
3.8.2,2020-03-10,2020031000
3.8.3,2020-05-12,2020051200
3.8.4,2020-06-09,2020060900
3.9,2020-06-30,2020063000
3.9.1,2020-07-15,2020071500
3.9.2,2020-09-24,2020092400
3.9.3,2020-11-10,2020111000
3.10,2020-12-01,2020120100
3.10.9,2021-01-18,2021051240
3.10.1,2021-01-19,2021011900
3.10.2,2021-03-09,2021030800
3.10.3,2021-03-25,2021032500
3.10.4,2021-05-10,2021051000
3.11,2021-06-08,2021060800
3.10.5,2021-07-13,2021051200
3.11.1,2021-07-20,2021072000
3.10.6,2021-07-30,2021051210
3.11.2,2021-07-30,2021073000
3.10.7,2021-09-16,2021051220
3.11.3,2021-09-20,2021092000
3.10.8,2021-11-17,2021051230
3.11.4,2021-11-25,2021112500
3.11.5,2022-01-18,2022011800
3.10.10,2022-03-15,2021051250
3.11.6,2022-03-15,2022031500
3.10.11,2022-05-10,2021051260
3.11.7,2022-05-10,2022031610
3.11.8,2022-07-12,2022031620
3.11.9,2022-08-23,2022031630
3.11.10,2022-09-13,2022031640
4.0,2022-10-14,2022101400
3.11.11,2022-11-15,2022031650
4.0.5,2022-11-15,2022111500
4.1,2023-01-11,2023110100
3.11.12,2023-01-17,2022031660
4.0.6,2023-01-17,2022112810
4.1.1,2023-01-17,2023011110
4.1.1 Rolling,2023-01-17,2023011700
3.11.13,2023-03-14,2022031670
4.0.7,2023-03-14,2022112811
4.1.2,2023-03-14,2023011120
4.1.2 Rolling,2023-03-14,2023031400
3.11.14,2023-04-25,2022031680
4.0.8,2023-04-25,2022112812
4.1.3,2023-04-25,2023011130
4.1.3 Rolling,2023-04-25,2023042500
4.2,2023-05-30,2023053000
3.11.15,2023-06-13,2022031690
4.0.9,2023-06-13,2022112840
4.1.4,2023-06-13,2023011140
4.1.4 Rolling,2023-06-13,2023042510
4.2.1,2023-06-13,2023053010
4.2.1 Rolling,2023-06-13,2023061300
3.11.16,2023-08-22,2022031700
4.1.5,2023-08-22,2023011150
4.1.5 Rolling,2023-08-22,2023042520
4.2.2,2023-08-22,2023053020
4.2.2 Rolling,2023-08-22,2023082200
3.11.17,2023-10-10,2022031710
4.0.11,2023-10-10,2022112860
4.1.6,2023-10-10,2023011160
4.2.3,2023-10-10,2023053030
4.2.3 Rolling,2023-10-10,2023101000
4.3,2023-11-09,2023110900
3.11.18,2023-12-12,2022031720
4.0.12,2023-12-12,2022112870
4.1.7,2023-12-12,2023011170
4.2.4,2023-12-12,2023053040
4.2.4 Rolling,2023-12-12,2023101010
4.3.1,2023-12-12,2023110910
4.3.1 Rolling,2023-12-12,2023121200
4.3.2,2023-12-28,2023110920
4.2.5 Rolling,2023-12-28,2023101020
4.2.5,2023-12-28,2023053050
4.1.8,2023-12-28,2023011180
4.3.2 Rolling,2023-12-28,2023122800
4.3.3 Rolling,2024-02-13,2024021300
4.3.3,2024-02-13,2023110930
4.2.6 Rolling,2024-02-13,2023101030
4.2.6,2024-02-13,2023053060
4.1.9,2024-02-13,2023011190
4.3.4 Rolling,2024-04-23,2024041510
4.3.4,2024-04-23,2023110940
4.2.7,2024-04-23,2023053070
4.1.10,2024-04-23,2023011200
4.4,2024-05-21,2024052100
4.1.11,2024-06-11,2023011210
4.2.8,2024-06-11,2023053080
4.3.5,2024-06-11,2023110950
4.3.5 Rolling,2024-06-11,2024041520
4.4.1,2024-06-11,2024052110
4.4.1 Rolling,2024-06-11,2024061100
4.4.2 Rolling,2024-08-13,2024081300
4.4.2,2024-08-13,2024052120
4.3.6 Rolling,2024-08-13,2024041530
4.3.6,2024-08-13,2023110960
4.2.9,2024-08-13,2023053090
4.1.12,2024-08-13,2023011220
4.1.13,2024-09-03,2023011230
4.2.10,2024-09-03,2023053100
4.3.7,2024-09-03,2023110970
4.4.3,2024-09-03,2024052130
4.4.3 Rolling,2024-09-03,2024090300
4.1.14,2024-10-08,2023011240
4.2.11,2024-10-08,2023053110
4.3.8,2024-10-08,2023110980
4.4.4 Rolling,2024-10-08,2024093010
4.4.4,2024-10-08,2024052140
4.5,2024-11-05,2024110500
4.1.15,2024-12-10,2023011250
4.3.9,2024-12-10,2023110990
4.4.5 Rolling,2024-12-10,2024093020
4.4.5,2024-12-10,2024052150
4.5.1 Rolling,2024-12-10,2024121000
